COIL,MT_FROM,MT_TO,DATE,DIF_TIPO_1,DIF_TIPO_2,DIF_TIPO_3,DIF_TIPO_4,DIF_TIPO_5,DIF_TIPO_6
407422,0.000000,1046.000000,"2019-04-07","0","0","1","0","0","0"
407423,0.000000,2299.000000,"2019-04-07","0","0","1","0","0","0"
404210,0.000000,682.000000,"2019-04-08","0","0","1","1","0","0"
405811,0.000000,923.000000,"2019-04-08","0","0","1","1","0","0"
405917,0.000000,602.000000,"2019-04-08","1","0","1","1","0","0"
406810,0.000000,1039.000000,"2019-04-08","0","0","0","1","0","0"
406812,0.000000,1238.000000,"2019-04-08","0","0","0","0","1","0"
406918,0.000000,1507.000000,"2019-04-08","0","0","1","0","0","0"
406927,0.000000,1778.000000,"2019-04-08","0","0","0","1","1","0"
406928,414.000000,1403.000000,"2019-04-08","0","0","1","1","0","0"
406929,0.000000,720.000000,"2019-04-08","0","1","1","0","0","0"
406929,721.000000,1423.000000,"2019-04-08","0","0","1","0","0","0"
407011,0.000000,684.000000,"2019-04-08","1","0","1","1","0","0"
407012,30.000000,131.000000,"2019-04-08","1","0","1","1","0","0"
407119,0.000000,2126.000000,"2019-04-08","0","1","1","0","0","0"
407421,1.000000,50.000000,"2019-04-08","0","1","1","0","0","0"
407421,51.000000,1204.000000,"2019-04-08","0","0","1","0","0","0"
407512,0.000000,1417.000000,"2019-04-08","0","0","0","1","1","0"
407818,0.000000,1063.000000,"2019-04-08","0","0","1","0","0","0"
407820,0.000000,819.000000,"2019-04-08","0","0","1","1","0","0"
407820,820.000000,912.000000,"2019-04-08","0","0","1","1","1","0"
408320,0.000000,280.000000,"2019-04-08","1","0","1","1","0","0"
408320,1390.000000,1401.000000,"2019-04-08","0","1","1","1","0","0"
408320,281.000000,1389.000000,"2019-04-08","0","0","1","1","0","0"
408324,0.000000,100.000000,"2019-04-08","1","0","0","0","0","0"
406818,0.000000,2704.000000,"2019-04-09","0","0","1","1","1","0"
407210,1.000000,759.000000,"2019-04-09","0","0","0","0","1","0"
407210,760.000000,2201.000000,"2019-04-09","0","0","0","1","1","0"
407212,0.000000,2269.000000,"2019-04-09","0","0","0","1","1","0"
410213,0.000000,1517.000000,"2019-04-12","0","0","0","0","1","0"
407910,0.000000,2113.000000,"2019-04-13","0","0","1","1","0","0"
409114,0.000000,1546.000000,"2019-04-13","0","0","1","0","0","0"
409116,2.000000,2116.000000,"2019-04-13","0","0","1","0","1","0"
409810,0.000000,1458.000000,"2019-04-13","0","0","1","0","0","0"
410011,0.000000,1460.000000,"2019-04-13","0","0","1","0","0","0"
367736,0.000000,719.000000,"2019-04-14","0","0","1","0","0","0"
406620,850.000000,1200.000000,"2019-04-14","0","0","1","0","0","0"
409612,0.000000,1058.000000,"2019-04-14","0","0","1","0","0","0"
409614,0.000000,696.000000,"2019-04-14","0","0","0","1","0","0"
410010,0.000000,550.000000,"2019-04-14","0","0","0","1","0","0"
410417,0.000000,270.000000,"2019-04-14","0","0","0","1","0","0"
410447,0.000000,1371.000000,"2019-04-14","0","0","1","0","0","0"
411015,0.000000,1511.000000,"2019-04-14","0","0","1","0","0","0"
411021,0.000000,1792.000000,"2019-04-14","0","0","1","1","0","0"
407131,0.000000,579.000000,"2019-04-15","0","0","1","0","0","0"
407131,580.000000,1044.000000,"2019-04-15","1","0","1","0","0","0"
408329,1.000000,2146.000000,"2019-04-15","0","0","1","0","0","0"
410434,3.000000,2121.000000,"2019-04-15","0","0","0","1","0","0"
410441,0.000000,1289.000000,"2019-04-15","0","0","1","0","0","0"
411017,417.000000,1411.000000,"2019-04-15","1","0","1","1","0","0"
411412,0.000000,1169.000000,"2019-04-15","0","0","1","0","0","0"
411713,0.000000,1560.000000,"2019-04-15","0","0","1","0","0","0"
412314,0.000000,2573.000000,"2019-04-15","0","0","1","0","0","0"
412511,0.000000,1380.000000,"2019-04-15","0","0","1","0","0","0"
412914,0.000000,1033.000000,"2019-04-15","1","0","1","1","0","0"
407127,3.000000,1999.000000,"2019-04-16","0","0","1","0","0","0"
407127,2000.000000,2683.000000,"2019-04-16","0","0","1","1","0","0"
408325,800.000000,2241.000000,"2019-04-16","0","0","0","1","0","0"
408326,0.000000,2721.000000,"2019-04-16","0","0","0","1","0","0"
408330,1.000000,1510.000000,"2019-04-16","0","0","1","0","0","0"
408910,0.000000,2139.000000,"2019-04-16","0","0","1","1","0","0"
409117,1.000000,1200.000000,"2019-04-16","0","0","0","1","0","0"
410411,3.000000,2091.000000,"2019-04-16","0","0","1","1","0","0"
410422,0.000000,1412.000000,"2019-04-16","0","0","1","0","0","0"
410424,119.000000,1756.000000,"2019-04-16","0","0","1","0","0","0"
410426,650.000000,1800.000000,"2019-04-16","0","1","0","1","0","0"
410426,2.000000,2556.000000,"2019-04-16","0","0","0","1","0","0"
410444,0.000000,1458.000000,"2019-04-16","0","0","1","1","0","0"
410712,3.000000,2136.000000,"2019-04-16","0","0","1","0","0","0"
411711,1.000000,1891.000000,"2019-04-16","0","0","1","0","0","0"
411712,0.000000,1538.000000,"2019-04-16","0","0","1","0","0","0"
412313,0.000000,2602.000000,"2019-04-16","0","0","1","0","0","0"
412316,0.000000,2127.000000,"2019-04-16","0","0","1","1","0","0"
412512,1.000000,1913.000000,"2019-04-16","0","0","1","0","0","0"
408735,0.000000,2313.000000,"2019-04-18","0","0","1","1","0","0"
411111,0.000000,1024.000000,"2019-04-18","0","0","1","0","0","0"
412023,0.000000,1046.000000,"2019-04-18","0","0","1","0","0","0"
412024,0.000000,1055.000000,"2019-04-18","0","0","1","0","0","0"
412410,351.000000,1398.000000,"2019-04-18","0","0","1","0","0","0"
412410,4.000000,350.000000,"2019-04-18","1","0","1","0","0","0"
412411,2.000000,2114.000000,"2019-04-18","0","0","1","1","0","0"
412710,0.000000,1031.000000,"2019-04-18","0","0","1","0","0","0"
412711,0.000000,1107.000000,"2019-04-18","0","0","1","1","0","0"
413210,0.000000,1444.000000,"2019-04-18","0","0","1","1","0","0"
413311,0.000000,1107.000000,"2019-04-18","0","0","1","1","0","0"
413312,3.000000,2091.000000,"2019-04-18","0","0","1","1","0","0"
413313,1.000000,2076.000000,"2019-04-18","0","1","1","1","0","0"
407118,854.000000,1480.000000,"2019-04-19","0","0","1","1","0","0"
410910,0.000000,685.000000,"2019-04-19","0","0","1","0","0","0"
411110,0.000000,678.000000,"2019-04-19","0","0","1","0","0","0"
413415,0.000000,1055.000000,"2019-04-19","0","0","1","0","0","0"
413417,0.000000,390.000000,"2019-04-19","0","1","1","0","1","0"
413417,391.000000,1403.000000,"2019-04-19","0","1","1","0","0","0"
413421,4.000000,2147.000000,"2019-04-19","0","1","1","1","0","0"
413424,2.000000,2099.000000,"2019-04-19","0","1","1","1","0","0"
413425,4.000000,649.000000,"2019-04-19","0","0","0","1","0","0"
413425,650.000000,2092.000000,"2019-04-19","0","1","0","1","0","0"
413924,1.000000,1508.000000,"2019-04-19","0","0","1","0","0","0"
413925,0.000000,1542.000000,"2019-04-19","0","0","1","1","0","0"
413944,0.000000,1423.000000,"2019-04-19","0","0","1","1","0","0"
413946,350.000000,2163.000000,"2019-04-19","0","0","0","1","0","0"
413948,0.000000,1074.000000,"2019-04-19","0","0","1","0","0","0"
413949,0.000000,1420.000000,"2019-04-19","0","0","1","1","0","0"
414336,0.000000,1442.000000,"2019-04-19","0","0","1","1","0","0"
414337,19.000000,1455.000000,"2019-04-19","0","0","1","1","0","0"
414338,0.000000,1237.000000,"2019-04-19","0","0","1","0","1","0"
414519,0.000000,50.000000,"2019-04-19","0","0","1","0","1","0"
414519,51.000000,1520.000000,"2019-04-19","0","0","1","0","0","0"
414522,0.000000,1059.000000,"2019-04-19","0","0","1","0","0","0"
407311,500.000000,614.000000,"2019-04-20","0","1","1","0","0","0"
407311,450.000000,499.000000,"2019-04-20","0","1","0","0","0","0"
407313,251.000000,826.000000,"2019-04-20","0","0","1","0","0","0"
407313,0.000000,250.000000,"2019-04-20","0","0","1","0","0","1"
411138,0.000000,687.000000,"2019-04-20","0","0","1","0","0","0"
411139,0.000000,680.000000,"2019-04-20","0","0","1","0","0","0"
412010,0.000000,611.000000,"2019-04-20","0","0","1","0","0","0"
412022,0.000000,587.000000,"2019-04-20","0","0","1","0","0","0"
412918,320.000000,558.000000,"2019-04-20","1","1","0","0","0","0"
412918,90.000000,319.000000,"2019-04-20","1","0","0","0","0","0"
413414,0.000000,1128.000000,"2019-04-20","0","0","1","0","0","0"
413922,0.000000,706.000000,"2019-04-20","0","0","1","0","0","0"
413923,0.000000,1523.000000,"2019-04-20","0","0","1","0","0","0"
414324,3.000000,2195.000000,"2019-04-20","0","0","1","1","0","0"
414327,1.000000,2176.000000,"2019-04-20","0","0","1","1","0","0"
414331,0.000000,2197.000000,"2019-04-20","0","0","1","1","0","0"
414335,0.000000,1447.000000,"2019-04-20","0","0","1","1","0","0"
414517,0.000000,1394.000000,"2019-04-20","0","0","1","0","0","0"
414610,0.000000,1504.000000,"2019-04-20","0","0","1","0","0","0"
414611,0.000000,980.000000,"2019-04-20","0","0","1","0","0","0"
414713,2.000000,1708.000000,"2019-04-20","0","0","1","1","0","0"
414723,0.000000,1797.000000,"2019-04-20","0","1","1","1","0","0"
414728,0.000000,1444.000000,"2019-04-20","0","0","1","0","0","0"
415111,0.000000,1260.000000,"2019-04-20","0","1","1","1","0","0"
415111,531.000000,1910.000000,"2019-04-20","0","0","1","1","0","0"
412315,7.000000,2314.000000,"2019-04-21","0","0","1","1","0","0"
414539,3.000000,2147.000000,"2019-04-21","0","0","1","0","0","0"
415112,0.000000,2269.000000,"2019-04-21","0","0","1","1","0","0"
415823,2.000000,1780.000000,"2019-04-21","0","0","1","1","0","0"
415512,0.000000,1660.000000,"2019-04-23","0","0","1","0","0","0"
415824,1.000000,1877.000000,"2019-04-23","0","0","1","0","0","0"
410423,1.000000,2115.000000,"2019-04-24","0","0","1","1","0","0"
413950,0.000000,1405.000000,"2019-04-24","0","0","1","1","0","0"
414322,1100.000000,1416.000000,"2019-04-24","0","0","1","0","0","0"
