COIL,CLUSTER,DIF_TIPO_1_max,DIF_TIPO_2_max,DIF_TIPO_3_max,DIF_TIPO_4_max,DIF_TIPO_5_max,DIF_TIPO_6_max
394532,3,0,0,0,0,0,0
394534,5,0,0,0,0,0,0
394537,5,0,0,0,0,0,0
394613,3,0,0,0,1,0,0
394614,4,0,0,1,1,0,0
394620,4,0,0,1,1,0,0
394622,4,0,1,1,0,0,0
394623,4,1,0,1,1,0,0
394624,4,0,0,0,0,0,0
394625,4,0,0,0,0,0,0
394626,4,0,1,1,0,0,0
394628,4,0,1,1,1,0,0
394631,4,0,0,0,1,1,0
394642,4,0,0,0,0,0,0
394644,4,0,0,0,0,0,0
394646,4,0,0,0,0,0,0
394711,3,0,0,0,0,0,0
394714,3,0,0,0,0,0,0
394715,3,0,0,0,0,0,0
394716,3,0,0,0,0,0,0
394717,3,0,0,0,0,0,0
394718,3,0,0,1,0,0,0
394721,3,0,0,1,1,0,0
394722,5,0,0,0,0,0,0
394723,5,0,0,0,0,0,0
394724,3,0,0,0,0,0,0
394725,3,0,0,0,0,0,0
394726,3,0,0,0,0,0,0
394727,3,0,0,0,0,0,0
394729,3,0,0,0,0,0,0
394730,3,0,0,0,0,0,0
394732,4,1,0,1,1,0,0
394738,3,0,0,0,0,0,0
394818,4,0,0,0,0,0,0
394819,4,1,0,1,1,0,0
394821,4,0,0,0,0,0,0
394823,4,0,0,0,0,0,0
394824,5,0,0,0,0,0,0
394825,5,0,0,0,0,0,0
394826,4,0,0,0,0,0,0
394827,4,0,0,0,0,0,0
394829,5,0,0,0,0,0,0
394833,5,0,0,0,0,0,0
394837,4,0,0,0,0,0,0
394838,4,0,0,0,0,0,0
395212,3,0,1,1,0,0,0
395214,4,0,0,1,0,0,0
395218,4,1,0,1,1,0,0
395223,4,0,0,1,0,0,0
395225,4,0,0,0,0,0,0
395226,4,0,0,0,1,0,0
395228,1,0,0,0,1,0,0
395232,4,0,1,0,1,0,0
395241,5,0,0,0,0,0,0
395242,1,0,0,0,0,0,0
395245,3,1,0,1,0,0,0
395249,3,0,0,0,0,0,0
395265,1,0,0,0,0,0,0
395266,1,0,0,0,0,0,0
395267,5,0,0,0,0,0,0
395283,5,0,0,0,0,0,0
395288,5,0,0,0,0,0,0
395310,4,0,1,1,0,0,0
395316,4,0,0,1,0,0,0
395318,4,0,0,1,0,0,0
395319,4,0,0,1,0,0,0
395324,4,0,0,1,1,0,0
395325,1,0,1,1,1,0,0
395332,4,0,0,1,1,0,0
395334,4,0,0,0,0,0,0
395335,4,0,0,0,0,0,0
395341,5,0,0,0,0,0,0
395343,4,0,0,0,0,0,0
395344,4,0,0,0,0,0,0
395346,4,0,0,0,0,0,0
395410,3,0,1,1,0,0,0
395434,4,0,0,1,0,0,0
395510,4,1,0,1,1,0,0
395512,3,0,1,0,1,0,0
395514,3,0,0,0,1,0,0
395542,5,0,0,0,0,0,0
395543,5,0,0,0,0,0,0
395628,3,0,0,0,0,0,0
395720,4,0,0,0,0,0,0
395724,4,0,0,0,0,0,0
395725,4,1,0,1,1,0,0
395728,4,1,0,1,1,0,0
395730,4,0,1,0,0,0,0
395732,1,0,0,0,1,0,0
395738,4,0,0,0,0,0,0
395739,3,0,0,0,0,0,0
396010,4,1,0,1,1,0,0
396012,3,1,1,0,0,0,0
